,s,i,j,target,ijd,thisclose,lastclose,cd,en_pos,i_shift,j_shift,insert_or_delete
2681,.....((((((.(.....(((((............................((.(........)))...(((((...))))).)))))).))))))....,-56,-63,1,0.9333333333333333,0.2857142857142857,0.0,1,0.22950819672131148,0,0,0
2682,.....((((((.(.....(((((.........(........).........((.((......))))...(((((...))))).)))))).))))))....,33,42,1,0.6,0.35714285714285715,0.0,0,0.24590163934426232,0,0,1
2683,.....((((((.(......((((............................((.((......))))...(((((...))))).)))).).))))))....,-19,-88,1,0.06666666666666667,0.35714285714285715,0.0,1,0.40983606557377045,1,1,0
2684,.....((((((.(.....(((((......(..............)......((.((......))))...(((((...))))).)))))).))))))....,30,45,1,0.4666666666666667,0.35714285714285715,0.0,0,0.47540983606557374,0,0,1
2685,.....((((((.(.....((((.............................((.((......))))...(((((...)))))..))))).))))))....,-23,-84,1,0.3333333333333333,0.35714285714285715,0.0,1,0.5737704918032787,1,0,0
2686,.....((((((.(.....(((((............................(..((......)).)...(((((...))))).)))))).))))))....,-53,-65,1,0.8,0.2857142857142857,0.0,1,0.6229508196721312,0,1,0
2687,.....((((((.(.....(((((..........(......)..........((.((......))))...(((((...))))).)))))).))))))....,34,41,1,0.6666666666666666,0.2857142857142857,0.0,0,0.6393442622950819,1,0,1
2688,.....((((((.(.....(.(((............................((.((......))))...(((((...))))).))).)).))))))....,-20,-87,1,0.13333333333333333,0.35714285714285715,0.0,0,0.7540983606557377,1,1,0
2689,.....((((((.(.....(((((............................((..(......).))...(((((...))))).)))))).))))))....,-55,-64,1,0.8666666666666667,0.2857142857142857,0.0,1,0.7540983606557377,0,0,0
2690,.....((((((.(.....(((.(............................((.((......))))...(((((...))))).).)))).))))))....,-22,-85,0,0.26666666666666666,0.35714285714285715,0.0,0,0.8032786885245902,1,0,0
2691,.....((((((.(.....(((((........(..........)........((.((......))))...(((((...))))).)))))).))))))....,32,43,1,0.5333333333333333,0.35714285714285715,0.0,0,0.819672131147541,0,0,1
2692,.....((((((.(.....(((((.....(................).....((.((......))))...(((((...))))).)))))).))))))....,29,46,1,0.4,0.2857142857142857,0.0,0,0.9180327868852459,0,0,1
2693,.....((((((.(.....((.((............................((.((......))))...(((((...))))).)).))).))))))....,-21,-86,0,0.2,0.35714285714285715,0.0,0,1.0,1,0,0
2694,.....((((((.((.....((((............................((.((......))))...(((((...))))).)))))).))))))....,14,88,1,0.06666666666666667,0.07142857142857142,0.2857142857142857,1,0.0,0,1,1
2695,.....((((((.(......((((.............................(.((......)))....(((((...))))).)))).).))))))....,-52,-66,1,0.6666666666666666,0.2857142857142857,0.2857142857142857,1,0.32967032967032966,0,1,0
2696,.....((((((.(......((((............................((.(........)))...(((((...))))).)))).).))))))....,-56,-63,1,0.8666666666666667,0.2857142857142857,0.2857142857142857,1,0.48351648351648346,0,0,0
2697,.....((((((.(......((((.........(........).........((.((......))))...(((((...))))).)))).).))))))....,33,42,1,0.5333333333333333,0.35714285714285715,0.2857142857142857,0,0.49450549450549447,0,0,1
2698,.....((((((.(.......(((............................((.((......))))...(((((...))))).)))..).))))))....,-20,-87,1,0.06666666666666667,0.2857142857142857,0.2857142857142857,1,0.5164835164835164,1,1,0
2699,.....((((((.(......((((......(..............)......((.((......))))...(((((...))))).)))).).))))))....,30,45,1,0.4,0.35714285714285715,0.2857142857142857,0,0.6483516483516483,0,0,1
2700,.....((((((.(......(((.............................((.((......))))...(((((...)))))..))).).))))))....,-23,-84,0,0.26666666666666666,0.2857142857142857,0.2857142857142857,1,0.7142857142857142,1,0,0
2701,.....((((((.(......((((............................(..((......)).)...(((((...))))).)))).).))))))....,-53,-65,0,0.7333333333333333,0.2857142857142857,0.2857142857142857,1,0.7472527472527473,0,1,0
2702,.....((((((.(......((((..........(......)..........((.((......))))...(((((...))))).)))).).))))))....,34,41,0,0.6,0.2857142857142857,0.2857142857142857,0,0.7582417582417582,1,0,1
2703,.....((((((.(......((((............................((..(......).))...(((((...))))).)))).).))))))....,-55,-64,0,0.8,0.2857142857142857,0.2857142857142857,1,0.8351648351648352,0,0,0
2704,.....((((((.(......((.(............................((.((......))))...(((((...))))).).)).).))))))....,-22,-85,0,0.2,0.2857142857142857,0.2857142857142857,0,0.8681318681318682,1,0,0
