,s,i,j,target,ijd,thisclose,lastclose,cd,en_pos,i_shift,j_shift,insert_or_delete
0,..((.((.(((...((((((((((.......))))).))..........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-12,-54,1,0.36363636363636365,0.2857142857142857,0.14285714285714285,1,0.0,0,0,0
1,..((.(..((((..((((((((((.......))))).))..........))).))))..))).(((.((((((..((((.....))))..))))))))).,-7,-59,1,0.18181818181818182,0.3333333333333333,0.14285714285714285,1,0.03448275862068964,0,1,0
2,..((.((.((((..(((((((((.........)))).))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.8181818181818182,0.23809523809523808,0.14285714285714285,1,0.03448275862068964,0,0,0
3,..((.((.((((..((((((((((.......))))).))..........))).)))).))))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.9545454545454546,0.047619047619047616,0.14285714285714285,1,0.10344827586206898,0,0,0
4,..((.((.((((..(((((.((((.......))))..))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.6363636363636364,0.3333333333333333,0.14285714285714285,1,0.20689655172413793,0,0,0
5,..((.((.((((..((((.(((((.......)))))..)..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-19,-38,1,0.5909090909090909,0.23809523809523808,0.14285714285714285,1,0.36206896551724144,0,0,0
6,..((.((..(((..((((((((((.......))))).))..........))).)))..)))).(((.((((((..((((.....))))..))))))))).,-9,-57,1,0.22727272727272727,0.2857142857142857,0.14285714285714285,1,0.3793103448275862,0,1,0
7,..((.((.((((...(((((((((.......))))).))..........))..)))).)))).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.4090909090909091,0.23809523809523808,0.14285714285714285,1,0.3793103448275862,0,1,0
8,...(.((.((((..((((((((((.......))))).))..........))).)))).)))..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.045454545454545456,0.19047619047619047,0.14285714285714285,1,0.4137931034482759,0,1,0
9,..((.((.((((..((((((((((.......))))).))..(......)))).)))).)))).(((.((((((..((((.....))))..))))))))).,42,49,1,0.8636363636363636,0.09523809523809523,0.14285714285714285,0,0.43103448275862066,0,0,1
10,..((..(.((((..((((((((((.......))))).))..........))).)))).).)).(((.((((((..((((.....))))..))))))))).,-6,-60,1,0.13636363636363635,0.2857142857142857,0.14285714285714285,1,0.4482758620689655,0,1,0
11,..(..((.((((..((((((((((.......))))).))..........))).)))).)).).(((.((((((..((((.....))))..))))))))).,-4,-61,1,0.09090909090909091,0.19047619047619047,0.14285714285714285,1,0.5172413793103449,0,1,0
12,..((.((.((.(..((((((((((.......))))).))..........))).).)).)))).(((.((((((..((((.....))))..))))))))).,-11,-55,1,0.3181818181818182,0.2857142857142857,0.14285714285714285,0,0.5172413793103449,0,1,0
13,..((.((.((((..((.(((((((.......))))).))...........)).)))).)))).(((.((((((..((((.....))))..))))))))).,-17,-50,1,0.5,0.14285714285714285,0.14285714285714285,1,0.5172413793103449,0,1,0
14,..((.((.((((..(((.((((((.......))))).)...........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-18,-39,1,0.5454545454545454,0.19047619047619047,0.14285714285714285,1,0.5172413793103449,0,0,0
15,..((.((.((((..((((((((.(.......).))).))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.7727272727272727,0.23809523809523808,0.14285714285714285,0,0.5689655172413793,0,0,0
16,..((.((.((((..((((((((((.......))))).))...(....).))).)))).)))).(((.((((((..((((.....))))..))))))))).,43,48,1,0.9090909090909091,0.09523809523809523,0.14285714285714285,0,0.5862068965517242,0,0,1
17,..((.((.((((..(.((((((((.......))))).))..........).).)))).)))).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.45454545454545453,0.19047619047619047,0.14285714285714285,0,0.7068965517241379,0,0,0
18,..((.((.((((..((((((.(((.......))).).))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.6818181818181818,0.3333333333333333,0.14285714285714285,0,0.8793103448275863,0,0,0
19,..((.((.((((..(((((((.((.......)).)).))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-22,-34,0,0.7272727272727273,0.2857142857142857,0.14285714285714285,0,0.9827586206896552,0,0,0
20,..((.((.(.((..((((((((((.......))))).))..........))).)).).)))).(((.((((((..((((.....))))..))))))))).,-10,-56,1,0.2727272727272727,0.2857142857142857,0.14285714285714285,0,1.0,0,0,0
21,..((.(..(((...((((((((((.......))))).))..........)))..)))..))).(((.((((((..((((.....))))..))))))))).,-7,-59,1,0.19047619047619047,0.35,0.25,1,0.0,0,1,0
22,..((.((.(((...(((((((((.........)))).))..........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.47619047619047616,0.25,0.25,1,0.0,0,0,0
23,..((.((.((....((((((((((.......))))).))..........)))...)).)))).(((.((((((..((((.....))))..))))))))).,-11,-55,1,0.047619047619047616,0.25,0.25,1,0.07142857142857142,0,1,0
24,..((.((.(((...((((((((((.......))))).))..........)))..))).))))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.6190476190476191,0.05,0.25,1,0.07142857142857142,0,0,0
25,..((.((.(((...(((((.((((.......))))..))..........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.2857142857142857,0.35,0.25,1,0.17857142857142858,0,0,0
26,..((.((.(((....(((((((((.......))))).))..........))...))).)))).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.047619047619047616,0.2,0.25,1,0.3214285714285714,0,1,0
27,..((.((.(((...((((.(((((.......)))))..)..........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-19,-38,1,0.23809523809523808,0.25,0.25,1,0.3392857142857143,0,0,0
28,..((.((..((...((((((((((.......))))).))..........)))..))..)))).(((.((((((..((((.....))))..))))))))).,-9,-57,1,0.14285714285714285,0.25,0.25,1,0.3571428571428572,0,1,0
29,...(.((.(((...((((((((((.......))))).))..........)))..))).)))..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.3333333333333333,0.2,0.25,1,0.3928571428571429,0,1,0
30,..((.((.(((...((((((((((.......))))).))..(......))))..))).)))).(((.((((((..((((.....))))..))))))))).,42,49,1,0.5238095238095238,0.1,0.25,0,0.4107142857142857,0,0,1
31,..((..(.(((...((((((((((.......))))).))..........)))..))).).)).(((.((((((..((((.....))))..))))))))).,-6,-60,1,0.23809523809523808,0.3,0.25,1,0.4285714285714286,0,1,0
32,..(..((.(((...((((((((((.......))))).))..........)))..))).)).).(((.((((((..((((.....))))..))))))))).,-4,-61,1,0.2857142857142857,0.2,0.25,1,0.5,0,1,0
33,..((.((.(((...((.(((((((.......))))).))...........))..))).)))).(((.((((((..((((.....))))..))))))))).,-17,-50,1,0.14285714285714285,0.15,0.25,1,0.5,0,1,0
34,..((.((.(((...(((.((((((.......))))).)...........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-18,-39,1,0.19047619047619047,0.2,0.25,1,0.5,0,0,0
35,..((.((.(((...((((((((.(.......).))).))..........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.42857142857142855,0.25,0.25,0,0.5535714285714286,0,0,0
36,..((.((.(((...((((((((((.......))))).))...(....).)))..))).)))).(((.((((((..((((.....))))..))))))))).,43,48,1,0.5714285714285714,0.1,0.25,0,0.5714285714285714,0,0,1
37,..((.((.(((...(.((((((((.......))))).))..........).)..))).)))).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.09523809523809523,0.15,0.25,0,0.6964285714285714,0,0,0
38,..((.((.(((...((((((.(((.......))).).))..........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.3333333333333333,0.35,0.25,0,0.875,0,0,0
39,..((.((.(((...(((((((.((.......)).)).))..........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-22,-34,0,0.38095238095238093,0.3,0.25,0,0.9821428571428572,0,0,0
40,..((.((.(.(...((((((((((.......))))).))..........)))..).).)))).(((.((((((..((((.....))))..))))))))).,-10,-56,1,0.09523809523809523,0.25,0.25,0,1.0,0,0,0
41,..((....(((...((((((((((.......))))).))..........)))..)))...)).(((.((((((..((((.....))))..))))))))).,-6,-60,1,0.05,0.2631578947368421,0.3157894736842105,0,0.0,0,1,0
42,..((.(..(((...(((((((((.........)))).))..........)))..)))..))).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.65,0.2631578947368421,0.3157894736842105,1,0.13846153846153847,0,0,0
43,..((.(..((....((((((((((.......))))).))..........)))...))..))).(((.((((((..((((.....))))..))))))))).,-11,-55,1,0.15,0.21052631578947367,0.3157894736842105,1,0.2,0,1,0
44,..((.(..(((...((((((((((.......))))).))..........)))..)))..)))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.8,0.05263157894736842,0.3157894736842105,1,0.2,0,0,0
45,..((.(..(((...(((((.((((.......))))..))..........)))..)))..))).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.45,0.3684210526315789,0.3157894736842105,1,0.2923076923076923,0,0,0
46,..((.(..(((....(((((((((.......))))).))..........))...)))..))).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.2,0.21052631578947367,0.3157894736842105,1,0.4153846153846154,0,1,0
47,..((.(..(((...((((.(((((.......)))))..)..........)))..)))..))).(((.((((((..((((.....))))..))))))))).,-19,-38,1,0.4,0.2631578947368421,0.3157894736842105,1,0.4307692307692308,0,0,0
48,...(.(..(((...((((((((((.......))))).))..........)))..)))..))..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.15,0.15789473684210525,0.3157894736842105,1,0.4769230769230769,0,1,0
49,..((.(..(((...((((((((((.......))))).))..(......))))..)))..))).(((.((((((..((((.....))))..))))))))).,42,49,1,0.7,0.10526315789473684,0.3157894736842105,0,0.49230769230769234,0,0,1
50,..(..(..(((...((((((((((.......))))).))..........)))..)))..).).(((.((((((..((((.....))))..))))))))).,-4,-61,1,0.1,0.15789473684210525,0.3157894736842105,1,0.5692307692307692,0,1,0
51,..((.(..(((...((.(((((((.......))))).))...........))..)))..))).(((.((((((..((((.....))))..))))))))).,-17,-50,1,0.3,0.15789473684210525,0.3157894736842105,1,0.5692307692307692,0,1,0
52,..((.(..(((...(((.((((((.......))))).)...........)))..)))..))).(((.((((((..((((.....))))..))))))))).,-18,-39,1,0.35,0.21052631578947367,0.3157894736842105,1,0.5692307692307692,0,0,0
53,..((.(..(((...((((((((.(.......).))).))..........)))..)))..))).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.6,0.2631578947368421,0.3157894736842105,0,0.6153846153846154,0,0,0
54,..((.(..(((...((((((((((.......))))).))...(....).)))..)))..))).(((.((((((..((((.....))))..))))))))).,43,48,1,0.75,0.10526315789473684,0.3157894736842105,0,0.6307692307692307,0,0,1
55,..((.(..(((...(.((((((((.......))))).))..........).)..)))..))).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.25,0.15789473684210525,0.3157894736842105,0,0.7384615384615385,0,0,0
56,..((.(...((...((((((((((.......))))).))..........)))..))...))).(((.((((((..((((.....))))..))))))))).,-9,-57,1,0.05,0.21052631578947367,0.3157894736842105,1,0.7692307692307693,0,1,0
57,..((.(..(((...((((((.(((.......))).).))..........)))..)))..))).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.5,0.3684210526315789,0.3157894736842105,0,0.8923076923076924,0,0,0
58,..((.(..(((...(((((((.((.......)).)).))..........)))..)))..))).(((.((((((..((((.....))))..))))))))).,-22,-34,0,0.55,0.3157894736842105,0.3157894736842105,0,0.9846153846153846,0,0,0
59,..((.(..(.(...((((((((((.......))))).))..........)))..).)..))).(((.((((((..((((.....))))..))))))))).,-10,-56,1,0.1,0.21052631578947367,0.3157894736842105,0,0.9999999999999999,0,0,0
60,..((....(((...(((((((((.........)))).))..........)))..)))...)).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.6842105263157895,0.2777777777777778,0.2222222222222222,1,0.0,0,0,0
61,..((....((....((((((((((.......))))).))..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-11,-55,1,0.15789473684210525,0.2222222222222222,0.2222222222222222,1,0.07142857142857142,0,1,0
62,..((....(((...((((((((((.......))))).))..........)))..)))...))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.8421052631578947,0.05555555555555555,0.2222222222222222,1,0.07142857142857142,0,0,0
63,..((....(((...(((((.((((.......))))..))..........)))..)))...)).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.47368421052631576,0.3888888888888889,0.2222222222222222,1,0.17857142857142858,0,0,0
64,..((....(((....(((((((((.......))))).))..........))...)))...)).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.21052631578947367,0.2222222222222222,0.2222222222222222,1,0.3214285714285714,0,1,0
65,..((....(((...((((.(((((.......)))))..)..........)))..)))...)).(((.((((((..((((.....))))..))))))))).,-19,-38,1,0.42105263157894735,0.2777777777777778,0.2222222222222222,1,0.3392857142857143,0,0,0
66,...(....(((...((((((((((.......))))).))..........)))..)))...)..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.10526315789473684,0.1111111111111111,0.2222222222222222,1,0.3928571428571429,0,1,0
67,..((....(((...((((((((((.......))))).))..(......))))..)))...)).(((.((((((..((((.....))))..))))))))).,42,49,1,0.7368421052631579,0.1111111111111111,0.2222222222222222,0,0.4107142857142857,0,0,1
68,..((....(((...((.(((((((.......))))).))...........))..)))...)).(((.((((((..((((.....))))..))))))))).,-17,-50,1,0.3157894736842105,0.16666666666666666,0.2222222222222222,1,0.5,0,1,0
69,..((....(((...(((.((((((.......))))).)...........)))..)))...)).(((.((((((..((((.....))))..))))))))).,-18,-39,1,0.3684210526315789,0.2222222222222222,0.2222222222222222,1,0.5,0,0,0
70,..((....(((...((((((((.(.......).))).))..........)))..)))...)).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.631578947368421,0.2777777777777778,0.2222222222222222,0,0.5535714285714286,0,0,0
71,..((....(((...((((((((((.......))))).))...(....).)))..)))...)).(((.((((((..((((.....))))..))))))))).,43,48,1,0.7894736842105263,0.1111111111111111,0.2222222222222222,0,0.5714285714285714,0,0,1
72,..(.....(((...((((((((((.......))))).))..........)))..)))....).(((.((((((..((((.....))))..))))))))).,-4,-61,1,0.05263157894736842,0.1111111111111111,0.2222222222222222,1,0.5892857142857143,0,1,0
73,..((.....((...((((((((((.......))))).))..........)))..))....)).(((.((((((..((((.....))))..))))))))).,-9,-57,1,0.05263157894736842,0.16666666666666666,0.2222222222222222,1,0.6428571428571429,0,1,0
74,..((....(((...(.((((((((.......))))).))..........).)..)))...)).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.2631578947368421,0.16666666666666666,0.2222222222222222,0,0.6964285714285714,0,0,0
75,..((....(((...((((((.(((.......))).).))..........)))..)))...)).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.5263157894736842,0.3888888888888889,0.2222222222222222,0,0.875,0,0,0
76,..((....(((...(((((((.((.......)).)).))..........)))..)))...)).(((.((((((..((((.....))))..))))))))).,-22,-34,0,0.5789473684210527,0.3333333333333333,0.2222222222222222,0,0.9821428571428572,0,0,0
77,..((....(.(...((((((((((.......))))).))..........)))..).)...)).(((.((((((..((((.....))))..))))))))).,-10,-56,1,0.10526315789473684,0.16666666666666666,0.2222222222222222,0,1.0,0,0,0
78,..((....((....(((((((((.........)))).))..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.5555555555555556,0.29411764705882354,0.17647058823529413,1,0.0,0,0,0
79,..((....((....((((((((((.......))))).))..........)))...))...))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.7222222222222222,0.058823529411764705,0.17647058823529413,1,0.0727272727272727,0,0,0
80,..((....((....(((((.((((.......))))..))..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.3333333333333333,0.4117647058823529,0.17647058823529413,1,0.18181818181818182,0,0,0
81,..((....((....((((.(((((.......)))))..)..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-19,-38,1,0.2777777777777778,0.29411764705882354,0.17647058823529413,1,0.3454545454545454,0,0,0
82,..((....((.....(((((((((.......))))).))..........))....))...)).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.05555555555555555,0.17647058823529413,0.17647058823529413,1,0.3636363636363636,0,1,0
83,...(....((....((((((((((.......))))).))..........)))...))...)..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.2222222222222222,0.11764705882352941,0.17647058823529413,1,0.39999999999999997,0,1,0
84,..((....((....((((((((((.......))))).))..(......))))...))...)).(((.((((((..((((.....))))..))))))))).,42,49,1,0.6111111111111112,0.11764705882352941,0.17647058823529413,0,0.41818181818181815,0,0,1
85,..((....(.....((((((((((.......))))).))..........)))....)...)).(((.((((((..((((.....))))..))))))))).,-10,-56,1,0.05555555555555555,0.11764705882352941,0.17647058823529413,1,0.4727272727272727,0,0,0
86,..((....((....((.(((((((.......))))).))...........))...))...)).(((.((((((..((((.....))))..))))))))).,-17,-50,1,0.16666666666666666,0.17647058823529413,0.17647058823529413,1,0.509090909090909,0,1,0
87,..((....((....(((.((((((.......))))).)...........)))...))...)).(((.((((((..((((.....))))..))))))))).,-18,-39,1,0.2222222222222222,0.23529411764705882,0.17647058823529413,1,0.509090909090909,0,0,0
88,..((....((....((((((((.(.......).))).))..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.5,0.29411764705882354,0.17647058823529413,0,0.5636363636363637,0,0,0
89,..((....((....((((((((((.......))))).))...(....).)))...))...)).(((.((((((..((((.....))))..))))))))).,43,48,1,0.6666666666666666,0.11764705882352941,0.17647058823529413,0,0.5818181818181818,0,0,1
90,..(.....((....((((((((((.......))))).))..........)))...))....).(((.((((((..((((.....))))..))))))))).,-4,-61,1,0.16666666666666666,0.11764705882352941,0.17647058823529413,1,0.6000000000000001,0,1,0
91,..((.....(....((((((((((.......))))).))..........)))...)....)).(((.((((((..((((.....))))..))))))))).,-9,-57,1,0.1111111111111111,0.11764705882352941,0.17647058823529413,1,0.6545454545454545,0,1,0
92,..((....((....(.((((((((.......))))).))..........).)...))...)).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.1111111111111111,0.17647058823529413,0.17647058823529413,0,0.709090909090909,0,0,0
93,..((....((....((((((.(((.......))).).))..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.3888888888888889,0.4117647058823529,0.17647058823529413,0,0.8909090909090909,0,0,0
94,..((....((....(((((((.((.......)).)).))..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-22,-34,0,0.4444444444444444,0.35294117647058826,0.17647058823529413,0,1.0,0,0,0
95,..((....((....(((..(((((.......))))).............)))...))...)).(((.((((((..((((.....))))..))))))))).,-18,-39,1,0.058823529411764705,0.1875,0.25,0,0.0,0,0,0
96,..((....((....((((..((((.......))))...)..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.058823529411764705,0.375,0.25,1,0.3820224719101124,0,0,0
97,..((....((....((((.((((.........))))..)..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.29411764705882354,0.3125,0.25,1,0.3820224719101124,0,0,0
98,..((....((....((((.(((((.......)))))..)..........)))...))...))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.47058823529411764,0.0625,0.25,1,0.4269662921348315,0,0,0
99,..((....((.....(((.(((((.......)))))..)..........))....))...)).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.23529411764705882,0.1875,0.25,1,0.6067415730337079,0,1,0
100,...(....((....((((.(((((.......)))))..)..........)))...))...)..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.47058823529411764,0.125,0.25,1,0.6292134831460674,0,1,0
101,..((....((....((((.(((((.......)))))..)..(......))))...))...)).(((.((((((..((((.....))))..))))))))).,42,49,1,0.35294117647058826,0.125,0.25,0,0.6404494382022472,0,0,1
102,..((....(.....((((.(((((.......)))))..)..........)))....)...)).(((.((((((..((((.....))))..))))))))).,-10,-56,1,0.29411764705882354,0.125,0.25,1,0.6741573033707866,0,0,0
103,..((....((....((.(.(((((.......)))))..)...........))...))...)).(((.((((((..((((.....))))..))))))))).,-17,-50,1,0.11764705882352941,0.1875,0.25,1,0.6966292134831461,0,1,0
104,..((....((....((((.(((.(.......).)))..)..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.23529411764705882,0.3125,0.25,0,0.7303370786516854,0,0,0
105,..((....((....((((.(((((.......)))))..)...(....).)))...))...)).(((.((((((..((((.....))))..))))))))).,43,48,1,0.4117647058823529,0.125,0.25,0,0.7415730337078652,0,0,1
106,..(.....((....((((.(((((.......)))))..)..........)))...))....).(((.((((((..((((.....))))..))))))))).,-4,-61,1,0.4117647058823529,0.125,0.25,1,0.752808988764045,0,1,0
107,..((.....(....((((.(((((.......)))))..)..........)))...)....)).(((.((((((..((((.....))))..))))))))).,-9,-57,1,0.35294117647058826,0.125,0.25,1,0.7865168539325844,0,1,0
108,..((....((....(.((.(((((.......)))))..)..........).)...))...)).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.17647058823529413,0.1875,0.25,0,0.8202247191011236,0,0,0
109,..((....((....((((.(.(((.......))).)..)..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.11764705882352941,0.375,0.25,0,0.9325842696629214,0,0,0
110,..((....((....((((.((.((.......)).))..)..........)))...))...)).(((.((((((..((((.....))))..))))))))).,-22,-34,0,0.17647058823529413,0.3125,0.25,0,1.0,0,0,0
111,..((....((....(((...((((.......))))..............)))...))...)).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.0625,0.3333333333333333,0.13333333333333333,1,0.0,0,0,0
112,..((....((....(((..((((.........)))).............)))...))...)).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.3125,0.3333333333333333,0.13333333333333333,1,0.01785714285714285,0,0,0
113,..((....((....(((..(((((.......))))).............)))...))...))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.5,0.06666666666666667,0.13333333333333333,1,0.08928571428571427,0,0,0
114,..((....((.....((..(((((.......))))).............))....))...)).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.1875,0.2,0.13333333333333333,1,0.375,0,1,0
115,...(....((....(((..(((((.......))))).............)))...))...)..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.4375,0.13333333333333333,0.13333333333333333,1,0.4107142857142857,0,1,0
116,..((....(.....(((..(((((.......))))).............)))....)...)).(((.((((((..((((.....))))..))))))))).,-10,-56,1,0.25,0.13333333333333333,0.13333333333333333,1,0.4821428571428571,0,0,0
117,..((....((....(((..(((((.......))))).....(......))))...))...)).(((.((((((..((((.....))))..))))))))).,42,49,1,0.375,0.13333333333333333,0.13333333333333333,0,0.5535714285714285,0,0,1
118,..((....((....(((..(((.(.......).))).............)))...))...)).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.25,0.3333333333333333,0.13333333333333333,0,0.5714285714285714,0,0,0
119,..((....((....((...(((((.......)))))..............))...))...)).(((.((((((..((((.....))))..))))))))).,-17,-50,1,0.0625,0.2,0.13333333333333333,1,0.5892857142857142,0,1,0
120,..(.....((....(((..(((((.......))))).............)))...))....).(((.((((((..((((.....))))..))))))))).,-4,-61,1,0.375,0.13333333333333333,0.13333333333333333,1,0.6071428571428571,0,1,0
121,..((.....(....(((..(((((.......))))).............)))...)....)).(((.((((((..((((.....))))..))))))))).,-9,-57,1,0.3125,0.13333333333333333,0.13333333333333333,1,0.6607142857142857,0,1,0
122,..((....((....(.(..(((((.......))))).............).)...))...)).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.125,0.2,0.13333333333333333,0,0.7142857142857142,0,0,0
123,..((....((....(((..(((((.......)))))......(....).)))...))...)).(((.((((((..((((.....))))..))))))))).,43,48,1,0.4375,0.13333333333333333,0.13333333333333333,0,0.7142857142857142,0,0,1
124,..((....((....(((..(.(((.......))).).............)))...))...)).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.125,0.3333333333333333,0.13333333333333333,0,0.8928571428571428,0,0,0
125,..((....((....(((..((.((.......)).)).............)))...))...)).(((.((((((..((((.....))))..))))))))).,-22,-34,0,0.1875,0.3333333333333333,0.13333333333333333,0,1.0,0,0,0
126,..((....((....((....((((.......))))...............))...))...)).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.0625,0.3333333333333333,0.13333333333333333,1,0.0,0,0,0
127,..((....((....((...((((.........))))..............))...))...)).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.3125,0.3333333333333333,0.13333333333333333,1,0.03508771929824564,0,0,0
128,..((....((....(....(((((.......)))))...............)...))...)).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.0625,0.13333333333333333,0.13333333333333333,1,0.10526315789473684,0,0,0
129,..((....((....((...(((((.......)))))..............))...))...))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.5625,0.06666666666666667,0.13333333333333333,1,0.10526315789473684,0,0,0
130,..((....((....((...(((((.......)))))....(........)))...))...)).(((.((((((..((((.....))))..))))))))).,41,50,1,0.375,0.2,0.13333333333333333,0,0.22807017543859653,0,1,1
131,..((....((.....(...(((((.......)))))..............)....))...)).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.125,0.13333333333333333,0.13333333333333333,1,0.3859649122807018,0,1,0
132,...(....((....((...(((((.......)))))..............))...))...)..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.375,0.13333333333333333,0.13333333333333333,1,0.4210526315789474,0,1,0
133,..((....((....((...(((((.......))))).....(......).))...))...)).(((.((((((..((((.....))))..))))))))).,42,49,1,0.4375,0.2,0.13333333333333333,0,0.43859649122807015,0,0,1
134,..((....(.....((...(((((.......)))))..............))....)...)).(((.((((((..((((.....))))..))))))))).,-10,-56,0,0.1875,0.13333333333333333,0.13333333333333333,1,0.4912280701754386,0,0,0
135,..((....((....((...(((.(.......).)))..............))...))...)).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.25,0.3333333333333333,0.13333333333333333,0,0.5789473684210527,0,0,0
136,..((....((....((...(((((.......)))))......(....)..))...))...)).(((.((((((..((((.....))))..))))))))).,43,48,0,0.5,0.2,0.13333333333333333,0,0.5964912280701755,0,0,1
137,..(.....((....((...(((((.......)))))..............))...))....).(((.((((((..((((.....))))..))))))))).,-4,-61,0,0.3125,0.13333333333333333,0.13333333333333333,1,0.6140350877192984,0,1,0
138,..((.....(....((...(((((.......)))))..............))...)....)).(((.((((((..((((.....))))..))))))))).,-9,-57,0,0.25,0.13333333333333333,0.13333333333333333,1,0.6666666666666667,0,1,0
139,..((....((....((...(.(((.......))).)..............))...))...)).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.125,0.3333333333333333,0.13333333333333333,0,0.894736842105263,0,0,0
140,..((....((....((...((.((.......)).))..............))...))...)).(((.((((((..((((.....))))..))))))))).,-22,-34,0,0.1875,0.3333333333333333,0.13333333333333333,0,1.0,0,0,0
141,..((....((.........(((((.......)))))...................))...)).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.06666666666666667,0.07142857142857142,0.07142857142857142,0,0.0,0,1,0
142,..((....((....(.....((((.......))))................)...))...)).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.06666666666666667,0.35714285714285715,0.07142857142857142,1,0.35955056179775285,0,0,0
143,..((....((....(....((((.........))))...............)...))...)).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.3333333333333333,0.35714285714285715,0.07142857142857142,1,0.3820224719101124,0,0,0
144,..((....((....(....(((((.......)))))...............)...))...))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.6,0.07142857142857142,0.07142857142857142,1,0.4269662921348315,0,0,0
