,labels,prediction
0,0.0,0.024971574544906616
1,0.0,0.33614981174468994
2,0.0277777777777781,0.20749329030513763
3,1.0,0.35430091619491577
4,0.0,0.2311602234840393
5,1.0,0.18342459201812744
6,0.1111111111111124,0.12404292821884155
7,0.6875,0.21368247270584106
8,0.8125,0.8462978601455688
9,0.6216216216216215,0.22562089562416077
10,0.171875,0.05290333926677704
11,0.53125,0.5964793562889099
12,0.0,0.020537570118904114
13,0.0263157894736842,0.3072546720504761
14,0.0789473684210524,0.14973995089530945
15,0.368421052631579,0.37062153220176697
16,0.4473684210526316,0.4836078882217407
17,0.0980392156862746,0.0467529296875
18,0.0,0.076263427734375
19,1.0000000000000002,0.9283900856971741
20,0.2307692307692308,0.1359068602323532
21,0.5192307692307692,0.48333707451820374
22,0.2692307692307691,0.5143256187438965
23,1.0,0.5706720948219299
24,0.0,0.364255428314209
25,0.5,0.5331726670265198
26,0.5,0.5873072147369385
27,1.0,0.46638137102127075
28,0.0,0.03014250099658966
29,0.290909090909091,0.2549808621406555
30,0.2363636363636363,0.1959279626607895
31,0.0,0.18686631321907043
32,0.0,0.1907774806022644
33,0.4545454545454548,0.24824067950248718
34,0.7090909090909092,0.4075191617012024
35,0.7090909090909092,0.5745707750320435
36,0.0,0.016323551535606384
37,0.4594594594594592,0.1931450366973877
38,0.4594594594594592,0.5881297588348389
39,0.3902439024390245,0.26786670088768005
40,0.9756097560975612,0.8101089596748352
41,0.1549295774647887,0.006676331162452698
42,0.2816901408450705,0.29469746351242065
43,0.419354838709677,0.15499268472194672
44,1.0,0.885390043258667
45,0.0,0.01921921968460083
46,0.0,0.3667718470096588
47,0.7857142857142856,0.562671959400177
48,0.7857142857142856,0.758338451385498
49,0.8214285714285712,0.827520489692688
50,0.7411764705882353,0.7254897952079773
51,1.0,0.9830675721168518
52,0.3541666666666665,0.4785257577896118
53,0.1666666666666669,0.13637077808380127
54,0.4477611940298507,0.36133742332458496
55,0.5373134328358209,0.22201497852802277
56,0.1044776119402984,0.22658562660217285
57,0.1940298507462686,0.285153329372406
58,0.3283582089552238,0.5505516529083252
59,0.7611940298507462,0.6845304369926453
60,0.5074626865671642,0.9447808265686035
61,0.0,0.2543293237686157
62,0.4814814814814814,0.3431253135204315
63,0.3148148148148146,0.8760175704956055
64,1.0000000000000004,0.9744892120361328
65,0.0,0.12725238502025604
66,1.0000000000000004,0.5633070468902588
67,0.612903225806452,0.9834944009780884
68,0.6440677966101694,0.5921272039413452
69,0.6779661016949152,0.6319567561149597
70,0.1525423728813559,0.05745784938335419
71,0.6440677966101694,0.5031664967536926
72,0.559322033898305,0.6447675228118896
73,0.0,0.1308903843164444
74,0.0,0.26116928458213806
75,0.192307692307692,0.11215247213840485
76,0.192307692307692,0.10779917240142822
77,0.1538461538461537,0.11704121530056
78,1.0,0.3059293329715729
79,0.192307692307692,0.34175899624824524
80,1.0,0.6168836355209351
81,0.0869565217391301,0.326932817697525
82,0.7173913043478257,0.05233563482761383
83,0.0,0.2039259374141693
84,0.9999999999999998,0.9608384370803833
85,0.0,0.03169749677181244
86,0.0,0.2767561674118042
87,0.0,0.05778725445270538
88,0.5833333333333334,0.4569474458694458
89,0.5833333333333334,0.26128119230270386
90,0.125,0.6418948173522949
91,0.4583333333333333,0.4390926659107208
92,0.7272727272727273,0.7152647972106934
93,0.3076923076923077,0.16326721012592316
94,0.5576923076923077,0.34174537658691406
95,0.9230769230769232,0.8913621306419373
96,0.4199999999999999,0.10942761600017548
97,0.4599999999999999,0.3164520263671875
98,0.5699999999999998,0.357623428106308
99,0.0,0.17134976387023926
100,0.0,0.20774021744728088
101,0.0,0.048122256994247437
102,1.0,0.6298163533210754
103,0.7058823529411764,0.32463452219963074
104,0.0,0.2105329930782318
105,0.2058823529411764,0.0779852420091629
106,0.0,0.49901074171066284
107,0.9411764705882352,0.3920515775680542
