,0,1,2,3,4,5,6,7,8
0,-43.5,30555,1.168626308441162,-43.5,16627,0.7536952495574951,-43.5,14123,0.7123212814331055
1,-38.0,95276,6.149389028549194,-38.0,55476,4.478598117828369,-38.0,50847,4.209584474563599
2,-28.5,99307,7.681787967681885,-29.4,103633,5.93904447555542,-29.4,84968,4.9315595626831055
3,-32.6,192415,10.957409620285034,-32.6,89695,7.127750396728516,-32.6,79277,6.90447473526001
4,-20.2,507185,43.4872260093689,-20.2,242811,25.18537735939026,-20.2,209112,24.36095952987671
5,-37.1,8926,0.4655003547668457,-37.1,6606,0.39194369316101074,-37.7,8708,0.404522180557251
6,-36.7,214170,19.00811457633972,-36.7,130353,14.937583923339844,-36.7,118908,13.900364398956299
7,-42.1,28365,1.0471398830413818,-42.1,18918,0.8276805877685547,-42.1,17785,0.8518404960632324
8,-24.5,274411,25.030814170837402,-24.5,165353,15.683267593383789,-24.5,145918,14.887701511383057
9,-36.0,121868,5.270747661590576,-36.0,86396,4.425858497619629,-36.0,80128,4.104813098907471
10,-49.5,80740,3.042073965072632,-49.6,53829,2.5895121097564697,-50.0,47741,2.503601551055908
11,-47.2,15785,0.639054536819458,-47.2,11887,0.5822510719299316,-47.2,10908,0.5225110054016113
12,-46.3,321054,15.364458322525024,-46.3,192266,10.974920749664307,-46.3,167044,10.086115837097168
13,-48.4,85838,3.397473096847534,-48.4,41760,2.3346970081329346,-48.4,37263,2.1116783618927
14,-37.3,254510,17.33509874343872,-36.9,133253,11.91974139213562,-36.9,116531,11.448195219039917
15,-35.6,118898,7.321052312850952,-35.6,53041,4.284040451049805,-35.6,45237,4.041889667510986
16,-33.2,356279,27.71673583984375,-33.2,205536,19.471760034561157,-33.2,185438,18.370386600494385
17,-24.2,348287,28.54580044746399,-24.2,163147,17.204549312591553,-24.2,141379,16.22451639175415
18,-32.0,261925,17.326772451400757,-32.0,147522,11.450978755950928,-32.0,120835,9.533476829528809
19,-41.6,494299,23.99465322494507,-41.6,274375,16.24443554878235,-41.6,261955,15.838813304901123
20,-42.6,104596,4.641656398773193,-43.0,61050,3.2618114948272705,-43.0,57610,3.1142807006835938
21,-48.5,15612,0.6005706787109375,-48.5,8017,0.4035019874572754,-48.5,7489,0.40706300735473633
22,-33.1,313172,22.05880355834961,-33.1,178373,14.781719446182251,-33.1,159027,14.055047988891602
23,-49.3,29521,1.0973856449127197,-49.3,19742,0.9447181224822998,-49.3,18529,0.9215145111083984
24,-24.2,239354,11.163046598434448,-24.2,130096,7.44192910194397,-24.2,119302,7.136938095092773
25,-41.1,5965,0.2509438991546631,-41.1,4461,0.22146177291870117,-41.1,4104,0.21319317817687988
26,-24.5,255109,19.91586661338806,-24.5,140607,12.580862760543823,-24.5,127512,12.136667251586914
27,-30.1,617672,31.228245735168457,-30.1,328418,20.11316418647766,-30.1,284107,18.509626150131226
28,-23.9,110734,8.352891445159912,-23.9,49956,5.023281574249268,-23.9,45803,4.8888938426971436
29,-49.7,16893,0.5932271480560303,-49.7,10831,0.5241153240203857,-49.7,9392,0.45923638343811035
30,-36.1,48766,1.9342806339263916,-36.1,30635,1.4740328788757324,-35.9,25366,1.2816612720489502
31,-40.0,499412,26.027353048324585,-40.0,321779,19.592756032943726,-40.0,298559,19.236262321472168
32,-35.2,519003,24.580618381500244,-35.2,257765,14.632327318191528,-35.2,233520,13.640431642532349
33,-41.9,137029,5.984729290008545,-41.9,74266,4.054879903793335,-41.9,68893,4.007761240005493
