,single_1_runtimes,single_1_results,single_2_runtimes,single_2_results,mp_runtimes,mp_results,cpp_orig_runtimes,cpp_orig_results,new_runtimes,new_results,py_runtimes,py_results,bp_dist
64,1.064,-97.8,1.5092,-96.7,1.0137,-97.8,2.0218,-97.8,0.893,-100.9,1.7911,-97.8,104.0
65,1.7683,-97.5,1.4334,-100.6,2.3043,-97.5,3.1167,-100.6,1.4174,-104.9,2.1818,-100.6,117.0
66,0.1049,-118.3,0.0811,-118.8,0.1191,-118.3,0.1399,-118.8,0.0957,-118.8,0.0788,-118.8,40.0
67,0.2998,-101.2,0.348,-99.6,0.3596,-101.2,0.3314,-101.2,0.3063,-101.6,0.1353,-101.2,52.0
68,0.3589,-97.0,0.3279,-97.0,0.4202,-97.0,0.6435,-97.0,0.1637,-98.6,0.556,-97.0,75.0
69,1.4198,-92.4,0.9339,-87.5,1.523,-92.4,2.2756,-91.4,1.9366,-91.1,1.7728,-91.4,112.0
70,0.2064,-106.2,0.2284,-106.2,0.2304,-106.2,0.3016,-106.2,0.2051,-106.7,0.1584,-106.2,40.0
71,0.1626,-101.6,0.1668,-103.0,0.1499,-101.6,0.2169,-102.8,0.1402,-103.1,0.1373,-102.8,53.0
72,2.7267,-57.0,2.8043,-58.7,3.2949,-57.0,6.7932,-57.4,5.4112,-58.7,4.6201,-57.4,143.0
73,2.7509,-86.3,3.3852,-91.6,2.1662,-86.3,5.8816,-91.6,2.401,-96.4,5.0626,-91.6,152.0
74,0.098,-104.1,0.0961,-104.1,0.1129,-104.1,0.1236,-104.1,0.1051,-104.1,0.0615,-104.1,46.0
75,3.9112,-97.91,2.9883,-101.6,3.2747,-97.91,8.516,-101.6,5.2818,-104.4,6.7344,-101.6,151.0
76,1.8977,-91.6,1.8376,-92.34,1.656,-91.6,2.6105,-92.34,1.0951,-100.3,2.5515,-92.34,118.0
77,0.49,-99.8,0.2983,-101.1,0.2934,-99.8,0.5865,-101.1,0.1598,-102.6,0.9088,-101.1,71.0
78,2.073,-86.9,2.4982,-84.9,1.7685,-86.9,2.705,-84.9,1.8137,-87.9,2.28,-84.9,122.0
79,2.5922,-70.7,2.6748,-73.1,2.8032,-70.7,6.3268,-72.9,5.1133,-73.1,5.1419,-72.9,148.0
80,0.0897,-120.3,0.0767,-120.4,0.1102,-120.3,0.1256,-120.4,0.0958,-120.7,0.057,-120.4,44.0
81,0.0567,-136.4,0.0567,-135.3,0.0675,-136.4,0.0617,-136.4,0.0747,-136.4,0.0124,-136.4,22.0
82,0.1152,-102.5,0.1312,-100.4,0.1413,-102.5,0.1769,-102.5,0.1508,-102.5,0.1165,-102.5,50.0
83,3.1176,-89.5,2.6165,-87.2,3.0684,-89.5,4.9081,-89.5,4.5535,-89.5,5.9226,-89.5,138.0
84,1.4119,-92.2,1.6222,-97.9,1.4422,-92.2,2.5897,-97.9,0.9742,-96.1,2.4399,-97.9,105.0
85,0.3313,-104.7,0.301,-103.7,0.3379,-104.7,0.5469,-104.7,0.2627,-106.0,0.4809,-104.7,75.0
86,1.0159,-108.4,2.1013,-108.8,1.232,-108.4,2.1398,-108.8,1.9074,-112.5,2.2585,-108.8,120.0
87,0.2593,-103.6,0.29,-104.0,0.1102,-103.6,0.1559,-104.0,0.1083,-104.0,0.097,-104.0,49.0
88,0.1666,-105.8,0.1981,-106.5,0.1763,-105.8,0.2495,-105.8,0.1346,-106.9,0.2352,-105.8,60.0
89,0.2826,-99.4,0.3694,-99.0,0.3548,-99.4,0.3026,-99.4,0.2899,-100.6,0.147,-99.4,57.0
90,8.6266,-65.1,5.0432,-63.5,7.5475,-65.1,14.3345,-65.1,10.5507,-67.2,12.6931,-65.1,187.0
91,0.2137,-93.6,0.1841,-91.9,0.2092,-93.6,0.2899,-93.6,0.1401,-95.5,0.2007,-93.6,57.0
92,0.7782,-85.3,1.0854,-85.3,0.4843,-85.3,1.7794,-85.3,0.656,-86.1,0.8762,-85.3,95.0
93,3.5195,-82.0,2.2396,-79.9,3.5506,-82.0,5.243,-82.0,4.7904,-82.0,6.4248,-82.0,144.0
94,0.4151,-93.0,0.3666,-93.5,0.4823,-93.0,0.7741,-93.5,0.2364,-93.1,0.6631,-93.5,79.0
95,2.0941,-77.5,2.0603,-79.2,1.6613,-77.5,2.3686,-79.2,1.5188,-80.4,2.1656,-79.2,118.0
96,0.184,-100.7,0.1849,-101.5,0.3054,-100.7,0.4967,-101.5,0.6792,-101.5,0.2615,-101.5,62.0
97,0.0992,-96.9,0.1002,-96.9,0.1228,-96.9,0.1194,-96.9,0.0914,-96.9,0.0693,-96.9,41.0
98,0.3646,-96.0,0.4774,-96.9,0.7641,-96.0,0.7664,-96.9,0.504,-98.4,0.4602,-96.9,87.0
99,3.152,-87.5,2.2198,-79.9,3.2791,-87.5,6.5116,-87.5,4.0027,-88.4,4.6318,-87.5,155.0
