,single_1_runtimes,single_1_results,single_2_runtimes,single_2_results,mp_runtimes,mp_results,cpp_orig_runtimes,cpp_orig_results,new_runtimes,new_results,py_runtimes,py_results
0,0.2318,-72.7,0.1634,-72.7,0.2701,-72.7,0.3109,-72.7,0.362,-72.0,0.2777,-72.7
1,0.0745,-58.9,0.0609,-57.45,0.1007,-57.7,0.0911,-58.9,0.1077,-54.9,0.0562,-58.9
