,single_1_runtimes,single_1_results,single_2_runtimes,single_2_results,mp_runtimes,mp_results,cpp_orig_runtimes,cpp_orig_results,py_runtimes,py_results
70,4.4212,-41.47,3.4196,-41.32,6.2544,-41.47,8.3251,-41.47,6.9219,-41.47
71,0.444,-53.11,0.2136,-51.51,0.4924,-53.11,0.5613,-53.11,0.4321,-53.11
72,2.8972,-45.9,1.4422,-45.2,3.3365,-45.9,4.7686,-45.9,4.4784,-45.9
73,2.6906,-46.5,5.7858,-48.1,6.7694,-48.1,7.8346,-49.3,5.7801,-49.3
74,0.1095,-71.9,0.1834,-71.9,0.1301,-71.9,0.1628,-71.9,0.0872,-71.9
75,0.0799,-81.4,0.0717,-81.8,0.1594,-81.8,0.1639,-81.8,0.0698,-81.8
76,1.2931,-39.8,2.782,-44.4,3.0434,-44.4,4.3184,-44.4,3.9685,-44.4
77,0.3004,-49.9,0.3024,-50.9,0.3686,-50.9,0.8232,-50.9,1.1386,-50.9
78,0.1411,-64.4,0.063,-64.4,0.0835,-64.4,0.1585,-64.4,0.0483,-64.4
79,0.311,-64.6,0.2109,-64.0,0.3717,-64.6,0.5745,-64.3,0.4267,-64.3
80,0.0552,-83.8,0.0506,-83.8,0.0496,-83.8,0.0484,-83.8,0.0032,-83.8
81,0.0571,-84.3,0.0495,-84.3,0.0511,-84.3,0.0509,-84.3,0.0038,-84.3
82,0.3142,-56.7,0.2093,-56.7,0.3724,-56.7,0.4973,-56.7,0.3601,-56.7
83,1.9926,-44.6,1.0286,-44.6,2.2295,-44.6,2.3436,-44.6,1.6906,-44.6
84,0.1054,-82.0,0.1241,-82.0,0.1338,-82.0,0.1117,-82.0,0.054,-82.0
85,2.396,-62.5,1.4502,-58.6,2.8474,-62.5,4.7258,-62.5,4.2878,-62.5
86,5.1803,-59.5,4.5937,-56.9,5.8571,-59.5,8.1125,-59.5,8.4468,-59.5
87,0.0589,-90.6,0.1292,-90.7,0.2253,-90.7,0.2897,-90.7,0.0159,-90.7
88,0.9508,-46.9,1.2484,-46.9,1.5701,-46.9,2.8528,-46.9,2.4607,-46.9
89,1.2558,-66.7,2.2513,-65.4,2.5088,-66.7,2.8871,-66.7,2.1804,-66.7
90,0.2178,-70.5,0.2442,-70.5,0.2844,-70.5,0.2611,-70.5,0.0156,-70.5
91,3.1374,-56.4,2.0684,-61.2,3.5903,-61.2,5.2179,-61.2,4.7667,-61.2
92,0.7296,-51.5,0.9484,-56.5,1.3643,-56.5,1.7694,-56.5,0.9778,-56.5
93,1.3688,-44.5,1.2262,-47.1,1.7237,-47.1,2.847,-47.1,2.5828,-47.1
94,0.1204,-85.2,0.2057,-85.2,0.1449,-85.2,0.1537,-85.2,0.0888,-85.2
95,1.0364,-30.2,0.6078,-27.7,1.2806,-30.2,1.3229,-30.1,1.4599,-30.1
96,0.2718,-79.6,0.2284,-79.6,0.2579,-79.6,0.2603,-79.6,0.0088,-79.6
97,1.6492,-64.6,0.8062,-62.2,2.447,-64.6,2.3237,-63.3,1.6464,-63.3
98,1.8543,-52.7,1.026,-52.35,2.0213,-52.7,1.8549,-52.7,2.0878,-52.7
99,0.2612,-89.3,0.1638,-84.9,0.2927,-89.3,0.4153,-89.3,0.2903,-89.3
